Comment,Sentiment
Hopefully Batman shows up in this :fire::fire::fire:,2
Im making a solemn oath right now that Im not gonna watch any more trailers that come out after this one.,1
Been a fan of his since euphoria dude is good :thumbs_up_medium_skin_tone:,2
Every good story starts with a when i was a kid,2
"Hunter Schafer? NEON produced horror film? Im sat. My ass is already in the theater seat. The employees are saying Please leave, the film youre talking about doesnt release until August, this is a Ghostbusters screening but I dont care. Im already sat.",2
is that fing aliath in the background in the last shot?,1
1. Cant wait for this but 2. Wheres Dune?! Release the damn trailer!,2
Is that Echo tho?,1
Ive got to see this! When!,2
This looks amazing!! Cant wait to see more of Norman Reedus character!,2
So glad I saw this back in November.,2
Thumbnail lit it :fire::fire::fire:,2
"First time I saw this guy on the fear of TWD I was surprised by his amazing acting. I thought one day this guy might get big. I couldve been wrong and it wouldnt change a thing in my life, but Im glad its been working out for him the way i imagined. So cool and so well deserved.",2
Sued for using my NAME!,0
Another movie that doesnt need to be made.  Rehashing old ideas.  Come on Universal...,0
Hemsworth and Scarlett?!:smiling_face_with_tear::smiling_face_with_heart-eyes:,2
 Should I expect a mystery a fantasy or both? Im excited,2
"Why is the time travel logic different in marvels movies like x-men days of future past, deadpool2, avengers endgame all has time travel but different logic and different outcomes",0
This is very interesting and Halle Berry being in it is a bonus. I want to see her in more movies instead of JLO.,2
that end beats :fire::fire::fire:,1
Finally a movie I want to see,2
glass got a family now,1
I havent rewatched a trailer this much since Endgame and The Batman,2
So thats Colin Farrell playing an overweight Robert Deniro.,0
Tom hardy rules,1
Cool thanks for the long trailer...now I dont need to watch it haha.  Remember when they just showed you bits to get hype up and you had to see it to get the full story,0
"Was NOT expecting that. Figured this was some,  Taylor Swift type Flick:grinning_face_with_sweat::grinning_face_with_sweat:..This looks great.:thumbs_up:",2
"Shouldve just called this one TWINSTERS cause theres two, get it? Theres two twisters &… ah whatever lol",1
It should be danny diveto,0
"Dont allow yourself to get sucked in by the propaganda of humanizing people like this that never humanized their victims. Unless youyouve spent time with people like this, you dont realize how quickly they turn on and off the switch of darkness without real remorse or empathy.",0
"This trailer simply put was a whole lotta what the fuck is this, I wanna watch it asap :face_with_tears_of_joy: Love concepts like this- kinda reminds me of the show From",2
"Wait, shes doing movies with black people again :flushed_face: :face_with_tears_of_joy:",1
Of course the only main black character is gay,0
"INTERVIEWER: Wasthere anyinterest in making it into afilm?GARCIA MARQUEZ: Yes, my agent put it up for one milliondollars to discourage offers and as they approximated thatoffershe raised it to around three million. But I have no interest ina film, and as long as I can preventit from happening,it wont.I prefer that it remain a private relationship between the readerand the book.INTERVIEWER:Doyouthink any books can betranslated intofilms successfully?GARCIA MARQUEZ: I| cant think of any one film that im-proved on a good novel, butI can think of many goodfilmsthatcame from very bad novels.(The Paris review, 1981)",1
Spoiler alert from (technically) the sequel that came out 30 years ago : Mufasa dies in the next movie :face_with_tears_of_joy:,1
QUE HORROR.  A DESTRUIR LOS CLÁSICOS,0
"Loved the Red Ram 3500 Dually, a nod to Bill Paxtons Red Ram 2500 from the orginal",2
This is stupid. Theres a high chance well enjoy it.,2
So they are going to ignore the lion guard cannon? Lol,0
"Hi @paramount, Im a human with a > 10 second attention span. It would be nice to have a trailer without a celeb-cameo-pre-trailer-trailer. Why do you continue to hemorrhage IQ and clarity?",0
What in the Lifetime Original Movie of the Week is this garbage!? Remember the Titans meets Shawshank Redemption on the Disney Channel! Hahahaha. This looks CORNY AF!!!!,0
this is my childhood,2
Dude. A24 is killing it. I never finish trailers because I feel they give too much away. But this looks amazing.,2
LFG as a tattoo . I see people will do,1
"The book is absolutely rotten, this better make up for it. He doesnt look 100 so really bad start.",0
Have we just seen the whole film?,0
"The story is a very interesting one, and this looks really good!",2
I will only watch it if Borko uploads the whole show on YouTube,1
Collin crushed this role. Hes reached Daniel Day Lewis levels of authenticity in The Batman. I cant wait for the show,2
a reboot of the orignal.......shocked another one is out.......looks good,2
Lol comical that they wont show the dislikes but show the 2.5 likes,0
this book is sadder tf,0
"Ok im maling a bet, he escapes at the end of the movie he has to",1
McAvoy is starting to get a little thick in the face. He looks like Ricky Gervais. Outstanding actor though.,1
Ok interting but still confused and also why ?,1
"Wait, Ive seen this before.....",1
Im so happy theyre ignoring the prequels. Making Alien mysterious again!,2
Disney... stop,0
Holy cash grab,0
Now THIS is a trailer!!!! BRAVO!!!!,2
Damn this actually looks really good. Im loving that theres been good movies coming out that seem to all be inspired by the classic 70-90s era,2
Whats hollywoods obsession with struggling black woman protagonist sometimes,0
"Thats cool, but wheres Colin Farrell?",2
This is what Colin Farrell would look like if hed stayed in Bruges:face_with_tears_of_joy:,2
Im glad it appears to be in Spanish.,2
"Great costume, happy for Colin, but I hated this Batman. Times are bad. Nobody wants more gloom. The studios used to be hip to this cycle.",0
"I cant believe this is being directed by the same man who made Minari, it looks better than I expected.",2
Kinda wish Dylan OBrien returned to voiced BumbleBee but I can give Keegan a shot in this one.,1
It was Zendaya running after the bike,1
and... he actually kills him.  time to apply those terms,0
...why would you give away the twist?,0
For everyone calling this a sequel....ITS NOT....this yet an unnecessary reboot...oye vey...,0
why?,0
This is why Mr Tumnus is not supposed to leave Narnia!,1
 He need some milk! :rolling_on_the_floor_laughing:,2
"I couldnt watch a film adaptation of this great book which Ive read many times. Therere the faces of the Buendias and Macondo deep within my imagination, I just cant let them go. I also have strong reservations about the motives and production of this series after the recent publication of a book Gabriel Garcia Marquez never wanted published. After reading an in depth analysis of, Until August Garcia Marquez was suffering from dementia which he knew compromised his writing abilities severely. This whole exercise is more about profits than anything else. Go and read One Hundred Years of Solitude, it is a truly memorable experience you should give yourself.",0
I was excited until I realized who the director was. Never watching this now unless Im on a long flight.,0
Logan looks much better in his yellow/blue suit. But even better sleeveless like he should be.So weird tho that Cassandra Nova is in this one.,2
"Came in hoping for another Witch or Heredity, but Im fine with a Shawshank bawl-fest, lol.",2
"Phew! So it is a horror movie. For a moment there, I thought it was going to be a sappy drama.",2
Its basically the Sopranos.,1
I was waiting for the origins :party_popper::red_heart:,2
I thought Cobblepots were rich as Waynes,1
Pray that be on Netflix. Cause i ready to see this. Halle Berry is a living legend she back!!:red_heart:,2
I have no idea whats this about but I want to watch it badly,2
I dont get it. What is this about?,0
They better not mess this up,0
 - Best Scene..,2
"Yeah, this is a remake of a 2022 version.  Both movies are given suspense and thrill factor",2
"Dont get compassionate, think about their victims.",0
Hardy gives me Marlon Brando vibes here and Im here for it,2
This book was a tough read but I am happy that I did it. Definitely a tragic family,1
"Sigh, no one likes PREQUELS and no one likes real looking talking animals!!",0
The literal chills I have from watching this trailer!!!  To hear the first sentence in the book as part of the teaser is simply AMAZING!!!,2
"The music choice for this trailer really was on-spot, the remix and editing. Well done!",2
" HAH, Liefelds Just Feet",1
So Dan Stevens is in this film but hes also in the new horror vampire film called Abigail :face_with_rolling_eyes::face_with_rolling_eyes:,1
So this is a rehash of original?....,0
The original is one of the stupidest films ever made.  I expect this one to double down on that and actually make you dumber for having viewed it.,0
Well see how it is I guess.... .,1
Finally!!!!,2
